"","month","day","year","t.minus","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1"
"191","08","19","2012",1,0.011588772781522,2.48846162431525e-06,0.000309214594928881,0.000541125541125541,0.00873531230674088
"192","08","19","2012",2,0.0319011950307953,5.26368598236607e-06,0.000463821892393321,0.0099721706864564,0.104437229437229
"193","08","19","2012",3,0.0336266117457372,5.51444581671793e-06,0.000618429189857761,0.0126777983920841,0.113559059987631
"194","08","19","2012",4,0.0350044129875256,5.52670592567726e-06,0.00015460729746444,0.0146103896103896,0.117424242424242
"195","08","19","2012",5,0.0421893335084711,6.53144772384409e-06,0.000463821892393321,0.0296846011131725,0.148577612863327
"196","08","19","2012",6,0.0432255401216037,6.76299240798184e-06,0.000850340136054422,0.0317717996289425,0.151669758812616
"197","08","19","2012",7,0.0446691062514908,6.9380515710949e-06,0.00100494743351886,0.0339363017934447,0.157235621521336
"198","08","19","2012",8,0.0466442605293668,7.18507829403935e-06,0.00108225108225108,0.0376468769325912,0.167594310451453
"199","08","19","2012",14,0.0584319308195937,8.23331593380599e-06,0.00301484230055659,0.0599876314162028,0.218073593073593
"200","08","19","2012",30,0.0797764583548037,1.18766413397458e-05,0.0212585034013605,0.103277674706246,0.273809523809524
"201","08","20","2012",1,0.0292942838435686,5.02904021277604e-06,0,0.0105132962275819,0.0905225726654298
"202","08","20","2012",2,0.0315744972660205,5.22432272161497e-06,0,0.0132962275819419,0.0995670995670996
"203","08","20","2012",3,0.0334444948873884,5.61501728600064e-06,0.00023191094619666,0.0152288188002474,0.107761286332715
"204","08","20","2012",4,0.0411857403645107,6.58600962233085e-06,0.000541125541125541,0.0300711193568336,0.140615337043908
"205","08","20","2012",5,0.0424344656056325,6.81500466951258e-06,0.00108225108225108,0.0318491032776747,0.145949288806432
"206","08","20","2012",6,0.0437868788218876,6.98588905509867e-06,0.0011595547309833,0.0343228200371058,0.150278293135436
"207","08","20","2012",7,0.0458134645580279,7.22862968836045e-06,0.00108225108225108,0.0384199134199134,0.16017316017316
"208","08","20","2012",8,0.0467326824779009,7.35064588553523e-06,0.00123685837971552,0.0408936301793445,0.16365182436611
"209","08","20","2012",14,0.0585064211141679,8.28797064204044e-06,0.00347866419294991,0.059678416821274,0.221552257266543
"210","08","20","2012",30,0.0809507777676456,1.19510005603427e-05,0.0218769325912183,0.103586889301175,0.279298082869511
"211","08","21","2012",1,0.0108520384962171,1.70369842284743e-06,0,0.00023191094619666,0.00463821892393321
"212","08","21","2012",2,0.0159492035542424,2.96783001090795e-06,0.000309214594928881,0.0011595547309833,0.0173933209647495
"213","08","21","2012",3,0.036203711965714,5.88126684934063e-06,0.000541125541125541,0.0197897340754484,0.123453927025356
"214","08","21","2012",4,0.0370916218374419,6.31370297777739e-06,0.000850340136054422,0.0249690785405071,0.125541125541126
"215","08","21","2012",5,0.0383269385922839,6.46229497537132e-06,0.000850340136054422,0.0270562770562771,0.132034632034632
"216","08","21","2012",6,0.0398356509911715,6.67565946887589e-06,0.0011595547309833,0.0296072974644403,0.135822510822511
"217","08","21","2012",7,0.04090774001946,6.79274995849674e-06,0.00108225108225108,0.0304576376004947,0.14169758812616
"218","08","21","2012",8,0.0425531499699032,6.9673931109215e-06,0.00131416202844774,0.0327767470624614,0.14904143475572
